OBJECTID	Storm_Legend	Sounding_Type	Event_Date	Classification	Longitude	Latitude	Elevation
1	NC6	Peak	4/28/2016	Non-Crosser	-79.5698	36.83865	336
2	NC36	Peak	4/28/2016	Non-Crosser	-80.821228	36.56319	1016
3	NC5	Peak	6/25/2015	Non-Crosser	-79.7966	37.03841	345
4	NC2	Peak	4/11/2013	Non-Crosser	-83.7114	34.6387	915
5	NC3	Peak	4/11/2013	Non-Crosser	-84.365	34.5493	886
6	NC32	Peak	4/14/2019	Non-Crosser	-80.4685	36.73622	883
7	NC35	Peak	5/1/2016	Non-Crosser	-82.4056	35.68979	1251
8	NC30	Peak	5/8/2009	Non-Crosser	-81.365196	36.703915	1159
9	NC19	Peak	4/25/2015	Non-Crosser	-84.420288	37.677372	287
10	NC18	Peak	4/25/2015	Non-Crosser	-83.966492	37.604561	363
11	NC26	Peak	4/25/2015	Non-Crosser	-83.008629	37.194561	459
12	NC27	Peak	4/25/2015	Non-Crosser	-82.316513	37.036362	592
13	NC28	Peak	4/25/2015	Non-Crosser	-83.030968	37.277088	490
14	NC9	Peak	5/1/2016	Non-Crosser	-83.6889	37.88822	359
15	NC23	Peak	5/1/2016	Non-Crosser	-83.3536	38.35666	352
16	NC11	Peak	5/1/2016	Non-Crosser	-82.0306	37.68627	558
17	NC15	Peak	5/1/2016	Non-Crosser	-83.5138	38.46849	344
18	NC29	Peak	5/1/2016	Non-Crosser	-80.840309	37.932987	966
19	NC10	Peak	5/8/2009	Non-Crosser	-84.738	36.83466	373
20	NC22	Peak	5/8/2009	Non-Crosser	-83.6986	36.71685	558
21	NC7	Peak	6/25/2015	Non-Crosser	-82.3106	37.88289	414
22	NC31	Peak	7/24/2014	Non-Crosser	-83.2888	37.19808	402
23	NC12	Peak	7/24/2014	Non-Crosser	-82.6085	37.07467	630
24	NC21	Peak	7/24/2014	Non-Crosser	-83.3007	38.10744	347
25	NC14	Peak	7/24/2014	Non-Crosser	-83.6423	37.91986	388
26	NC16	Peak	4/9/2015	Non-Crosser	-80.999855	39.439934	326
27	NC24	Peak	4/9/2015	Non-Crosser	-81.22551	40.16198	339
28	NC17	Peak	4/28/2016	Non-Crosser	-80.8968	39.00498	356
29	NC33	Peak	4/28/2016	Non-Crosser	-79.579903	38.858829	1165
30	NC37	Peak	5/1/2016	Non-Crosser	-81.1888	37.62497	814
31	NC25	Peak	5/1/2016	Non-Crosser	-83.4304	38.34857	394
32	NC20	Peak	5/1/2016	Non-Crosser	-82.2575	37.49073	547
33	NC8	Peak	6/26/2015	Non-Crosser	-81.1945	38.73525	352
34	NC13	Peak	4/27/2011	Non-Crosser	-82.526	36.7384	559
35	NC1	Peak	4/27/2011	Non-Crosser	-82.3222	36.82513	726
36	NC4	Peak	4/27/2011	Non-Crosser	-80.3632156	38.201168	1126
